ISO3,CR1,CR3
AFG,"9,319,675","10,738,732"
DZA,"7,148,429","6,797,456"
AGO,"15,854,274","14,731,113"
ARG,"9,178,503","6,926,485"
BGD,"11,270,841","13,660,931"
BRA,"24,799,081","19,786,582"
BFA,"6,342,013","6,186,149"
BDI,"5,527,405","5,421,369"
CMR,"6,439,803","6,563,296"
CAF,"1,206,332","1,461,873"
TCD,"3,883,445","4,535,441"
CHN,"62,164,669","52,522,732"
COL,"4,651,018","3,611,772"
CIV,"8,499,265","7,932,742"
CUB,"1,605,207","1,278,387"
PRK,0,0
COD,"32,401,555","34,400,371"
DOM,"1,575,690","1,511,454"
ECU,"2,252,146","1,737,785"
EGY,"22,478,379","22,581,326"
ERI,"1,238,744","1,200,678"
ETH,"26,619,045","25,486,265"
GMB,"737,281","749,050"
GHA,"5,561,926","6,084,088"
GTM,"2,331,489","2,120,337"
GIN,"4,340,325","4,589,296"
GNB,"525,460","582,879"
HTI,"2,985,200","3,032,457"
IND,"153,100,875","184,026,448"
IDN,"32,732,548","38,014,071"
IRN,"11,608,058","10,297,644"
IRQ,"9,803,186","8,455,321"
JOR,"1,848,736","1,485,765"
KAZ,"1,361,947","1,561,293"
KEN,"11,507,373","11,545,802"
LBR,"1,203,561","1,189,746"
MDG,"14,589,717","14,090,023"
MWI,"7,235,957","6,604,481"
MYS,"3,007,865","2,842,897"
MLI,"5,404,430","6,694,671"
MEX,"10,840,786","9,103,620"
MAR,"4,820,871","5,334,407"
MOZ,"14,567,085","13,134,913"
MMR,"3,891,737","6,749,713"
NPL,"1,280,691","3,067,961"
NER,"12,614,793","13,065,172"
NGA,"72,535,203","61,959,940"
PAK,"23,130,780","30,002,822"
PER,"4,052,326","3,139,011"
PHL,"18,826,608","21,630,851"
RUS,"8,341,039","6,652,998"
RWA,"7,850,382","6,647,145"
SLE,"1,493,923","1,572,143"
SOM,"8,583,231","8,791,597"
ZAF,"9,493,429","8,942,845"
SSD,"3,695,890","3,403,505"
LKA,"2,871,227","3,837,455"
SDN,"16,406,592","14,749,992"
SYR,"3,318,832","3,374,367"
TJK,"1,532,497","1,364,956"
THA,"5,966,968","5,389,369"
TGO,"2,705,616","2,580,335"
TUR,"17,615,468","13,816,462"
UGA,"18,748,117","16,785,558"
UKR,"2,402,109","1,845,964"
TZA,"40,271,293","33,265,765"
UZB,"4,324,883","4,047,667"
VNM,"10,851,452","10,637,750"
YEM,"6,585,902","6,869,688"
